목록키,기관구분,기관명,목록유형,목록명,목록설명,조회수,분류체계,기관코드,국가중점여부,표준데이터여부,목록 등록일,목록 수정일,목록 URL,다운로드_활용건수,키워드
15127225,교육부,교육부,FILE,교육부_특수교육 교육과정 총론 및 각론 고시,"교육부 고시 제2022-34호 / 이 교육과정은 유아교육법 제13조제2항, 초?중등교육법 제23조제2항, 장애인 등에 대한 특수교육법 제20조제1항에 의거하여 고시한 것으로, 특수교육 대상 학생이 취학하는 유치원, 초?중등학교 및 특수학교의 교육 목적을 달성하기 위해 유치원, 초?중등학교 및 특수학교에서 운영하여야 할 학교 교육과정의 공통적이고 일반적인 기준을 국가 수준에서 제시한 것이다.<br/>이 교육과정의 성격은 제1부 유치원 교육과정과 제2부 초?중등학교 교육과정으로 구분하여 제시한다.<br/>",60,교육 - 유아및초·중등교육,1342000,N,N,2024-03-15,2024-03-18,https://www.data.go.kr/data/15127225/fileData.do,10,"장애인,유치원,교육기회"
15106239,교육부,교육부,FILE,교육부_특수교육 연차보고서,"특수교육의 개요, 특수교육 현황, 특수학교 현황, 일반학교 특수교육현황, 고등학교 및 전공과 졸업 특수교육대상자 진로 현황, 특수교육 정책 추진현황, 특수교육대상자 현황, 특수교육기관 확충, 장애영아 무상교육지원, 유치원 과정 특수교육대상자 의무교육 지원 내실화, 특수교육지원센터 기능 강화 등",600,교육 - 교육일반,1342000,N,N,2022-08-31,2024-03-15,https://www.data.go.kr/data/15106239/fileData.do,811,"특수학교,장애인,특수교육주요시책"
15127207,교육부,교육부,FILE,교육부_재외교육기관포털_한국학교정보,"재외 한국학교의 정의 : 재외국민에게 국내의 초·중등 교육과정에 따른 학교교육을 실시하기 위하여 외국에 설립된 교육기관<br/>국가, 학교명, 공관명, 교장, 대표전화, 팩스, 주소, 개교일자, 정부설립인가일, 현지설립인가일, 정부운영인가일, 홈페이지 링크 등의 데이터를 제공",34,교육 - 유아및초·중등교육,1342000,N,N,2024-03-14,2024-03-14,https://www.data.go.kr/data/15127207/fileData.do,6,"학교주소,재외한국학교,동포자녀"
15102662,교육부,교육부,FILE,교육부_재외교육기관포털_한국교육원정보,"재외교육기관포털에서 제공하고 있는 국가, 교육원명, 공관명, 도시, 원장, 주소, 대표전화, 팩스, 설립일자, 홈페이지링크 등의 정보를 제공",1051,교육 - 교육일반,1342000,N,N,2022-07-25,2024-03-14,https://www.data.go.kr/data/15102662/fileData.do,390,"재외교육기관,설립일자,공관명"
15126531,교육부,교육부,FILE,교육부_교육통계서비스_직업계고졸업자취업통계연보,"직업계고 졸업자 취업통계연보는 직업계고 취업통계조사의 결과로서 직업계고 학생의 졸업 후 상황을 여러 항목에 따라 분석한 자료입니다. 본 자료는 직업계고 졸업자의 취업실태 파악을 통한 현장 중심의 직업교육 및 취업정책 수립/추진의 기초 자료로 활용하는 것을 목적으로 하고 있습니다.<br/>특성화고등학교 현황, 마이스터 고등학교 현황, 일반계 고등학교 직업반, 유지취업 현황, 취업상세정보별취업통계현황 데이터 제공 합니다.",161,교육 - 평생·직업교육,1342000,N,N,2024-02-01,2024-02-01,https://www.data.go.kr/data/15126531/fileData.do,40,"학교수,졸업자,미취업자"
15126419,교육부,교육부,FILE,교육부_교육부 시도별 진로상담교사 배치현황,"시도별, 국공립과 사립,  초중등 학교급 및 고등학교 구분에 따른 진로전담교사 배치 현황 및 순회교사 정보를 제공하고 있습니다.",100,교육 - 유아및초·중등교육,1342000,N,N,2024-01-22,2024-01-22,https://www.data.go.kr/data/15126419/fileData.do,56,"시도,진로상담교사,배치현황"
15100360,교육부,교육부,FILE,교육부_학생건강검사 표본조사 rawdata,"학생건강정보센터(https://schoolhealth.kr/index.do) >> 정책동향 >>  학생건강검사 >> 원시자료 탭 >> 학생건강검사 원자료 다운로드가 가능합니다.<br/>데이터 항목 list<br/>학년도,시도별,학교급별,학교명,학년,반,순번,성별,생년월일,키,몸무게,체질량지수,건강검진일,척추,시력_나안_좌,시력_나안_우,시력_교정_좌,시력_교정_우,안질환,청력_좌,청력_우,귓병,콧병,목병,피부병,요단백,요잠혈,혈당(식전)(mg/dl),총콜레스테롤(mg/dl),HDL(mg/dl),중성지방(mg/dl),LDL(mg/dl),AST(U/L),ALT(U/L),혈색소(g/dl)",4303,교육 - 유아및초·중등교육,1342000,N,N,2022-05-19,2024-01-11,https://www.data.go.kr/data/15100360/fileData.do,5156,"학생건강,표본조사,학생건강정보센터"
15040972,교육부,교육부,FILE,교육부_초중고 학교도서관 현황_학교별,"초중고 학교도서관 현황  데이터는 연도, 시도, 행정구, 교육지원청, 학교급, 학교명, 장서수, 연간이용자, 연간이용책, 사서교사, 직원, 사서자격증보유여부 등 관련 학교 도서관 현황자료를 제공하고 있습니다.",4265,교육 - 유아및초·중등교육,1342000,N,N,2019-11-21,2023-11-06,https://www.data.go.kr/data/15040972/fileData.do,1189,"학교도서관,사서교사,학교보유도서수"
15124462,교육부,교육부,FILE,교육부_대표홈페이지 사업공고 목록,"교육부 대표 홈페이지(moe.go.kr) 내 교육부 관련 사업공고 목록을 다운로드 합니다. 목록번호, 사업제목, 등록자, 등록일, 게시물URL 정보를 제공합니다.<br/>기간은 당일 포함하여 최근100건 사업 목록이 제공됩니다.<br/>",121,교육 - 교육일반,1342000,N,N,2023-10-13,2023-10-18,https://www.data.go.kr/data/15124462/fileData.do,15,"사업계획,사업공고,교육부소식"
15106335,교육부,교육부,FILE,교육부_온종일돌봄(초등돌봄) 시설 현황,"교육부 대표 홈페이지 >> 초·중·고 교육 >> 초등돌봄교실 현황을 제공합니다. 시도, 시군구, 학교명, 이용인원을 제공합니다.",2845,교육 - 유아및초·중등교육,1342000,N,N,2022-08-31,2023-10-18,https://www.data.go.kr/data/15106335/fileData.do,1000,"돌봄교실,학교돌봄터,청소년방과후"
