목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15121104,유관기관,한국과학창의재단,한국과학창의재단_SWAI교재,인공지능 기술 발달로 인한 사회 전반의 패러다임 변화에 대응하여 미래를 살아갈 모든 국민과 학생 교과 또는 창의적 체험활동 등에서 활용할 교육 자료입니다.,171,과학기술 - 과학기술연구,"SW,AI,교재"
15121150,유관기관,한국과학창의재단,한국과학창의재단_스마트 수과학실,미래세대의 과학적 상상력 탐구력을 함양할 수 있는 과학문화 및 교육의 기반 조성을 위해 과학기술 분야 전문 인프라와 연계한 첨단 과학기술 기반의 학교 밖 탐구 실험 공간,107,과학기술 - 과학기술연구,"수학,과학,실험공간"
3071313,유관기관,한국과학창의재단,한국과학창의재단_과학기술국민이해도 조사보고서,"격년마다 조사되는 보고서로 2018년도 ""과학기술에 대한 국민이해도 조사"" 보고서입니다. <br/>과학기술에 대한 국민의 인식을 알수있는 통계 자료와 현재 과학기술 수준, 그에 따른 과학 교육의 필요성과 과학 교육 진행사항 등 한국의 과학기술과 과학 교육에 대한 전반적인 내용을 다루고 있습니다.",3388,과학기술 - 과학기술연구,"과학기술,국민이해도,조사보고서"
15092444,유관기관,한국연구재단,한국연구재단_원문목록데이터,"한국연구재단이 보유하고있는 기초학문자료센터 시스템에 있는 원문목록데이터입니다. 대표 데이터로는 원문목록명, 작성기관등이 있습니다.<br/>",749,과학기술 - 과학기술연구,"원문,목록,데이터"
15092912,유관기관,한국연구재단,한국연구재단_학술대회운영조직,"한국연구재단이 보유하고있는 온라인논문투고심사시스템에 있는학술대회운영조직 데이터 입니다. 대표 데이터는 기관명, 기관ID 명 등이 있습니다.<br/>",883,과학기술 - 과학기술연구,"학술대회,운영,조직"
15092861,유관기관,한국연구재단,한국연구재단_공모제안,"한국연구재단이 보유하고있는 기획마루 시스템에 있는 공모제안 데이터입니다. 대표 데이터로는 공모제목, 공모제안양식 등이 있습니다.",1247,과학기술 - 과학기술연구,"수요조사,조사,기획과제"
15122907,유관기관,한국연구재단,한국연구재단_일련번호 생성목록,"한국연구재단이 보유하고 있는 ""외국교육기관 및 외국인학교 종합안내"" 시스템 내  ""일련번호 생성목록"" 테이블 정보입니다. 테이블명(한글), 테이블명(영문), 시작번호 등의 정보가 있습니다",241,과학기술 - 과학기술연구,"외국인,일련번호,생성"
15093401,유관기관,한국연구재단,한국연구재단_성과소개 상세 논문,"한국연구재단이 보유하고있는 성과마루 시스템에 있는 성과소개 상세 논문 데이터 입니다. 대표 데이터는 성과번호, 출원등록 등이 있습니다.<br/>",990,과학기술 - 과학기술연구,"성과소개,상세,논문"
15092794,유관기관,한국연구재단,한국연구재단_과제신청 및 선정현황 코드,"한국연구재단이 보유하고있는 한국연구지원통계 시스템에 있는 과제신청 및 선전현황 코드 데이터입니다. 대표 데이터로는 코드명, 코드, 지원년도 등이 있습니다.",982,과학기술 - 과학기술연구,"과제신청,선정현황,한국연구지원"
15092179,유관기관,한국연구재단,한국연구재단_머리말,"한국연구재단이 보유하고있는 산학협력종합지원센터 시스템에 있는 머리말 데이터 입니다. 대표 데이터는 생성일자, 수정일자 등이 있습니다.",1140,과학기술 - 과학기술연구,"산학협력종합지원센터,메뉴글,관리"
