목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15121091,유관기관,한국과학창의재단,한국과학창의재단_SW중심사회 사업성과물,"일반 국민이 SW AI를 포함하는 디지털 교육, 산업, 정책, 문화 등에 대해 친숙하고 긍정적으로 인식할 수 있는 성과물 제작보급",106,과학기술 - 과학기술진흥,"SW중심사회,소프트웨어,사업성과물"
15121098,유관기관,한국과학창의재단,한국과학창의재단_SW중심사회 인포그래픽,"전 국민이 AI로 더 나은 미래를 만드는 나라, 언제 어디서나 직군별 생애주기별 맞춤형 학습이 가능한 교육시스템 구축 등 관련 내용을 담고 있는 인포그래픽입니다.",142,과학기술 - 과학기술진흥,"SW중심사회,SW교육,인포그래픽"
15121181,유관기관,한국과학창의재단,한국과학창의재단_생활과학교실 인포그래픽,"지역 대학, 과학문화 단체 중심으로 지역 내 아동센터, 학교, 주민센터 등 실생활 주변 시설을 활용한 체험형 과학교육 프로그램을 제공하는 생활과학교실 인포그래픽",93,과학기술 - 과학기술진흥,"생활과학교실,과학교육,프로그램"
15091154,유관기관,한국과학창의재단,한국과학창의재단_창의적 체험활동 프로그램 정보,2014년부터 2021년까지 운영된 창의적 체험활동 프로그램 정보로 특히 학생·자녀 등을 위해 창의적 체험활동을 계획하는 학부모·교사 등에게 유용하게 활용될 수 있음. 더욱 상세한 정보는 한국과학창의재단에서 운영하는 창의인성교육넷 크레존(Crezone)에서 확인 가능함<br/>URL: https://www.crezone.net/,1261,과학기술 - 과학기술진흥,"교육,창의체험,프로그램 정보"
15091315,유관기관,한국과학창의재단,한국과학창의재단_온라인 코딩파티 참가자 수 및 이수자 수,온라인 코딩파티는 과학기술정보통신부와 한국과학창의재단이 2016년부터 2021년까지 주최·주관한 행사로 공공과 관련 코딩 프로그래밍 산업계가 연계하여 학생들이 코딩을 경험할 수 있는 기회를 제공함,1093,과학기술 - 과학기술진흥,"정보/통신,정보이론,프로그래밍 언어/자연어 처리"
15091317,유관기관,한국과학창의재단,한국과학창의재단_한국과학창의재단_SW_AI 에듀톤 대회 참가자 수 및 시상규모,SW_AI 에듀톤 대회는 예비 교원이 참여하는 SW_AI교육 관련 행사로 향후 SW_AI교육을 이끌어 갈 인재들의 SW_AI교육 관심도와 참여 정도를 알 수 있음,893,과학기술 - 과학기술진흥,"교육,정보,기타"
3052505,유관기관,한국과학창의재단,한국과학창의재단_창의체험정보,"한국과학창의재단에서 제공하는 창의체험활동 프로그램 목록입니다.
해당 API가 응답하는 항목은 다음과 같습니다.

응답 항목 :  고유번호, 제목, 등록일, 수정일, 주소, 홈페이지, 마감여부, 운영장소, 이용 대상, 모집정원, 썸네일 이미지, 운영기간 시작일, 운영기간 마감일, 모집기간 시작일, 모집기간 마감일, 위도, 경도",4377,과학기술 - 과학기술진흥,"교육,기타교육,달리 분류되지 않는 교육"
15031864,유관기관,한국과학창의재단,한국과학창의재단_과학창의 연례통계,"과학문화·창의인재양성이라는 두 개의 대영역 아래 진행된 사업들의 제도적 기반, 당해년도 과학문화 확산과 창의인재교육 사업들의 성과와 주요 통계를 정리하여 재단이 수행하는 정책 사업 현황의 추이를 연차별로 제공<br/><br/>과학문화 확산, 과학영재·창의인재 양성, 해외 통계현황 및 기타자료들로 구성되어 있습니다.<br/><br/>* 연례통계 자료의 경우 전년도 데이터들의 통계 자료이므로 '21년도 데이터를 제공하고 있음",2397,과학기술 - 과학기술진흥,"과학,창의,연례통계"
15091200,유관기관,한국과학창의재단,한국과학창의재단_소프트웨어(SW) 인공지능(AI) 교육용 교재 목록,"소프트웨어(SW) 인공지능(AI) 교육용 교재 목록 및 교재 링크로 현장 학교 및 관련 산업계 등에서 SW·AI교육을 시행하거나 추가 연구·개발하기 위한 기초자료로 사용가능<br/><br/>해당 데이터가 보유한 컬럼은 다음과 같습니다.<br/>컬럼명 : 구분, 고유번호, 제목, 내용, 분류명, 교재보기경로<br/><br/>접속 URL : https://www.software.kr/home/kor/eduInfo/swedu/textbook/index.do?menuPos=131",4009,과학기술 - 과학기술진흥,"정보/통신,소프트웨어,달리분류되지않는 소프트웨어"
15093608,유관기관,한국과학창의재단,한국과학창의재단_사이언스타임즈_코로나19,"사이언스타임즈에서 제공하는 코로나19 관련 기사에 대한 정보입니다.<br/>해당 데이터가 보유한 컬럼은 다음과 같습니다.<br/>컬럼명 : 	번호, 구분, 세부구분, 제목, 작성자, 등록일자, 본문, 저작권자, 웹페이지주소(URL), 태그, 뷰",1149,과학기술 - 과학기술진흥,"과학기술,과학기술정책/사회,과학기술과 사회"
