목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15122460,교육부,교육부,교육부_대학원 계약학과 설치 운영 현황_학교별,교육부(한국대학교육협의회)가 대학알리미에서 대학정보공시를 서비스 하고 정보공시 항목 중 12. 교원의 연구·학생에 대한 교육 및 산학협력 현황 - 카. 현장중심 실무형 교육과정 개설 현황  - 계약학과 설치 운영 현황을 제공합니다.<br/>,272,교육 - 고등교육,"대학알리미,대학정보공시,대학교종류"
15118998,교육부,교육부,교육부_대학알리미_대학주요정보_학생_교원_연구_재정_교육여건,"대학알리미는 대학의 주요 정보를 제공하는 웹사이트로 국민들이 보다 쉽고 편리하게 대학정보를 이용할 수 있도록 하는데 그 목적을 두고 있습니다. 누구나 대학알리미를 통해 대학의 기본 정보를 확인·활용할 수 있습니다. <br/>공시년도, 학교명, 본분교명, 학교종류, 학교유형, 설립유형, 지역명, 입학정원(학부), 졸업생수(학부), 전임교원수(학부+대학원), 재학생(학부), 신입생경쟁률(학부), 신입생 충원율(학부), 왹국인 학생수(학부), 전임교원1인당 학생수, 전임교원확보율, 전임교원 강의담당비율, 학생1인당 연간 장학금(학부), 연평균 등록금(학부), 학생1인당 교육부, 기숙사 수용율, 학생1인당 도서 자료수<br/>",290,교육 - 고등교육,"충원율,취업률,장학금"
15119000,교육부,교육부,교육부_대학알리미_특성화학과 분야 정보,"대학알리미(대학정보공시)의 특성화 학과정보를 제공.<br/>학과명, 대학명, 폐과, 학과 특성화명, 특성화 구분, 특성화 분류, 학교종류, 지역, 설립유형, 주야구분, 표준분류계열(대, 중, 소) 등<br/><br/>특성화분류탭 클릭시(건설교통, 공공서비스, 기계, 기초과학(인문,사회,자연과학), 농림수산식품, 문화, 예술, 체육, 보건의료, 사업지원, 생명과학, 전기,전자, 정보통신, 특화교육시스템, 화공, 환경)로 구분하여 검색 가능.",210,교육 - 고등교육,"학과,대학,특성화명"
15119002,교육부,교육부,교육부_대학알리미_키워드별 학과정보,"학교정보공시 항목 중 학과 관련 키워드로 검색하여 학과정보를 제공.<br/>학과명, 학교명, 구분, 학교종류, 학교지역, 소재지, 설립구분, 주야구분, 학과특성, 상태, 표준분류계열(대,중,소)",216,교육 - 고등교육,"학과,키워드,표준분류계열"
15119005,교육부,교육부,교육부_대학알리미_표준분류체계별 학과 정보,"- 표준분류체계에 의거한 고등교육기관의 교육편제단위 현황 및 이력관리 정보<br/>- 표준분류체계는 대학설립운영규정에 명시된 5대 계열(인문사회,자연과학,공학,예체능,의학)을 준용한 교육편제단위 분류체계로 대분류-중분류-소분류 구성<br/>- 체계적인 교육편제단위 조사를 통해 교육수요자에게 신뢰성 있는 고등교육정보 제공<br/>인문사회, 자연과학, 공학, 예체능, 의학 등 표준분류체계 별 학과 정보(대학명, 구분, 학교종류, 학교지역, 소재지, 설립유형 등) 제공",1286,교육 - 고등교육,"인문사회,자연과학,공학"
15117828,교육부,교육부,교육부_온라인 학위과정 승인 대학 현황,"일반대학의 온라인 학위과정은 교육부의 사전 심사 및 승인을 통해 원격대학(사이버대 등)이 아닌 일반대학에서 대면수업 병행 없이 온라인 수업만으로도 (전문)학사 또는 석사학위를 취득할 수 있는 제도이다.<br/>대학별 온라인 학위과정 승인 현황에 대한 데이터로 대학명, 학과(전공), 차수(승인)를 제공한다.",228,교육 - 고등교육,"온라인,학위과정,전공"
15102452,교육부,교육부,교육부_대학 성희롱 성폭력 전담기구 실태조사 보고서,"2022년 대학 성희롱 성폭력 근절 지원 중앙센터 사업을 통해 산출한 실태조사 보고서를 붙임과 같이 게시합니다. 본 조사는 전국 대학의 성희롱 성폭력 전담기구에 대한 운영현황 파악을 목적으로 실시되었으며, 2022년 7월부터 8월까지 온라인 조사를 통해 445개의 대학의 참여로 산출된 통계입니다.",1352,교육 - 고등교육,"대학,성희롱성폭력 전담기구,실태조사"
15106344,교육부,교육부,교육부_전국 대학교별 학과별 주요 현황,"고등교육통계 학교별 학과별 주요현황으로 학과수, 입학정원, 입학자, 재적학생수, 졸업자수, 전임교원수 등 항목이 있음",6968,교육 - 고등교육,"대학교기본정보,대학교대학원입학자,학사석사박사"
15100330,교육부,교육부,교육부_전국대학교개황,"학교구분, 학교코드, 학교명, 본분교, 학제, 지역, 설립구분, 관련법령, 법인명, 학교상태, 중문학교명, 영문학교명, 주소, 영문주소, 중문주소, 우편번호, 학교개교일, 학교홈페이지, 총장(대학원장), 학교대표번호, 학교대표팩스번호",12506,교육 - 고등교육,"학교,지역,학교구분"
15091131,교육부,교육부,교육부_커리어넷_학과정보,"해당 데이터에서는 고등학교, 대학교 학과정보를 제공하고 있습니다. 특히, 대학교는 전공계역, 학교유형 별로 구분하여 상세내용을 확인할 수 있습니다.",4164,교육 - 고등교육,"대학교,학과,진로"
