목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15106239,교육부,교육부,교육부_특수교육 연차보고서,"특수교육의 개요, 특수교육 현황, 특수학교 현황, 일반학교 특수교육현황, 고등학교 및 전공과 졸업 특수교육대상자 진로 현황, 특수교육 정책 추진현황, 특수교육대상자 현황, 특수교육기관 확충, 장애영아 무상교육지원, 유치원 과정 특수교육대상자 의무교육 지원 내실화, 특수교육지원센터 기능 강화 등",600,교육 - 교육일반,"특수학교,장애인,특수교육주요시책"
15102662,교육부,교육부,교육부_재외교육기관포털_한국교육원정보,"재외교육기관포털에서 제공하고 있는 국가, 교육원명, 공관명, 도시, 원장, 주소, 대표전화, 팩스, 설립일자, 홈페이지링크 등의 정보를 제공",1051,교육 - 교육일반,"재외교육기관,설립일자,공관명"
15124462,교육부,교육부,교육부_대표홈페이지 사업공고 목록,"교육부 대표 홈페이지(moe.go.kr) 내 교육부 관련 사업공고 목록을 다운로드 합니다. 목록번호, 사업제목, 등록자, 등록일, 게시물URL 정보를 제공합니다.<br/>기간은 당일 포함하여 최근100건 사업 목록이 제공됩니다.<br/>",121,교육 - 교육일반,"사업계획,사업공고,교육부소식"
15118802,교육부,교육부,교육부_사회정책 대표누리집_정책자료,"글로벌 강국으로 도약하는 미래, 공동가치를 위한 함께하는 연대, 모든 국민의 안전한 일상을 만들기 위한  지원전략 수립",189,교육 - 교육일반,"도약하는미래,함께하는연대,안전한일상"
15122396,교육부,교육부,교육부_나이스(NEIS) 교육정보 개방 포털_특수학교 시간표,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다. 교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공. 특수학교 학년도, 학교, 학기, 학년, 과정, 강의실, 교시별 시간표 수업내용",433,교육 - 교육일반,"교육정보개방,어플리케이션,개발"
15112904,교육부,교육부,교육부_교육활동 침해 및 교원치유지원센터 지원 현황,"한국교육개발원 교원치유지원센터 자료제공<br/><br/>2018년~2022년 1학기 교육활동 침해 현황<br/>2020년~2022년 1학기 교원치유지원센터 지원 현황(이용건수, 유형별 이용내역-상담/심리치료, 법률지원/예방프로그램/기타)<br/>",863,교육 - 교육일반,"교육활동침해,교원치유지원센터지원,법률지원"
15120397,교육부,교육부,교육부_조직연혁정보_기관변천,"교육부의 조직연혁 정보 기관변천파일을 제공(1940년대~현재까지)<br/>문교부, 교육부, 교육인적자원부, 교육과학기술부, 통폐합, 기능이관, 유지",119,교육 - 교육일반,"조직연혁,기관,변천"
15119014,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_실용국어2,"목적 : 직업기초능력 중 의사소통(국어) 능력 함양을 위한 교수학습 자료<br/>프로그램 구성 : 나, 공동체, 직업세계의 3가지 범주의 6개 주제(자기표현, 자아성찰, 개인적 인간관계, 사회적 책임감, 직장에서의 의사소통과 갈등 해결, 직장에서의 문서 처리)<br/>6개 단원(17차시)",72,교육 - 교육일반,"기초능력,의사소통,교수학습"
15119015,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_실용국어3,"목적 : 직업기초능력 중 ‘의사소통 국어’ 능력 함양을 위한 교수학습 자료<br/>프로그램 구성 : 나’, ‘공동체’, ‘직업 세계’라는 3가지 범주의 4개 주제(자기표현, 사회적 책임감, 직장에서의 갈등 해결, 직장에서의 문서 처리)<br/>4개 단원(12차시)<br/>",76,교육 - 교육일반,"의사소통,교수학습,문서처리"
15119017,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_국어보정학습,"국어학습(기본)<br/>대화하기 : 상황에 맞게 인사 주고받기, 높임법 바르게 사용하여 말하기, 상대방에게 적절히 반응하면서 듣고 말하기<br/>발표하기 : 상대방에게 적절히 반응하면서 듣고 말하기, 매체를 활용하여 발표하기, 알맞은 목소리와 속도, 자신 있는 태도로 말하기<br/>문장 쓰기 : 문장 성분과 접속어 바르게 사용하기, 빠진 문장 성분 찾기와 문장 부호 바르게 사용하기, 맞춤법에 맞게 문장 쓰기 등 <br/><br/>보정학습 자료 제공",77,교육 - 교육일반,"듣기말하기,읽기,쓰기"
15119019,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_기본수학1,"목적 : 직업기초능력 중 수리활용 능력 함양 및 수학 교과 기초를 다지는 교수학습 자료?<br/>구성 : 기본 수학의 성취기준을 차시 단위의 학습 내용으로 세분하여 3개의 핵심개념(경우의 수, 다항식, 방정식과 부등식)? 39차시 분량?<br/><br/>1. 경우의수, 2. 순열과 조합, 3.다항식의 연산, 4. 인수분해, 5.이차방정식, 6.이차함수, 7.부등식",111,교육 - 교육일반,"경우의수,순열과조합,이차방정식"
15119020,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_기본수학2,"목적 : 직업기초능력 중 수리활용 능력 함양 및 수학 교과 기초를 다지는 교수학습 자료<br/>구성 : 기본 수학의 성취기준을 차시 단위의 학습 내용으로 세분한 2개의 핵심 개념(집합과 함수, 도형의 방정식) 13개 단원(34차시)<br/>",90,교육 - 교육일반,"집합과함수,도형의방정식,수리활용"
15119021,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_실용수학,"목적 : 직업기초능력 중 수리활용 능력과 수학적 소양을 함양할 수 있는 교수학습 자료<br/>구성 : 실용 수학의 성취기준을 3개 영역(규칙, 공간, 자료)으로 재구성함 6개 단원(25차시)",140,교육 - 교육일반,"규칙,공간,자료"
15119023,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_기본영어1,"목적 : 직업기초능력 중 의사소통(영어) 능력 함양을 위한 교수학습 자료?<br/>구성 : 프로그램 구성: 총 6개 Unit(At the restaurant, Commercial Activity, Introduce myself, Connected, Jobs around us, Step out to the world) 30차시 분량<br/>",91,교육 - 교육일반,"의사소통,영어학습,교수학습"
15119024,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_기본영어2,"목적 : 직업기초능력 중 의사소통(영어)능력 함양을 위한 교수학습 자료<br/>구성 : Everyday Lives, Mechanic Basics, Commercial Activity, Agricultural World, How to Offer Help & Communicate 의 5개 주제 20개 단원(60차시)",60,교육 - 교육일반,"기초능력,교수학습,영어기본"
15119025,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_기본영어3,"목적 : 직업기초능력 의사소통(영어)능력 함양을 위한 교수학습 자료<br/>구성 : Everyday Lives & Hobbies, Mechanic BasicsⅡ, Commercial Activity의 3개 주제 12개 단원(36차시)",81,교육 - 교육일반,"기초능력,영어기초,교수학습"
15119026,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_영어보정학습,"인사나누기, 소개하기, 일상생활, 의견교환하기, 짧은글 읽기, 친숙한소재글 읽기, 실용문읽기, 친숙한소재 글쓰기, 실용문 쓰기 등의 영어 보정학습 자료영상 및 교사용 지도서",83,교육 - 교육일반,"기초능력,읽기영역,말하기듣기"
15119578,교육부,교육부,교육부_학생건강정보센터_연도별 학생 법정 감염병 현황,"교육부 학생건강정책과에서 제작한 「연도별 학생 법정 감염병 현황(2017~2022)」입니다.<br/>※ 본 자료는 나이스시스템(NEIS)를 통해 보고된 자료를 바탕으로 작성된 자료로, 학생측의 신고를 받아 학교가 교육청에 보고한 현황입니다.<br/>   ""감염병예방법""에 근거한 국가감염병 감시체계를 통해 집계한 현황과 차이가 있을 수 있습니다.",333,교육 - 교육일반,"감염병,학생건강,통계"
15118994,교육부,교육부,교육부_에듀넷티클리어_교육 주제별 사진 영상 자료,"한국교육학술정보원 운영, 교과학습, 교육정책자료, 수업 및 연구자료, 커뮤니티 제공<br/>인문사회교육, 정보교육, 진로교육, 창의인성교육, 보건안전교육, 예체능교육, 통일안보교육, 환경교육 주제별 사진영상자료 제공<br/>",86,교육 - 교육일반,"SW교육,교사,수업활동"
15118992,교육부,교육부,교육부_에듀넷티클리어_인공지능(AI)교육_AI교수학습자료,"한국교육학술정보원 운영, 교과학습, 교육정책자료, 수업 및 연구자료, 커뮤니티 제공<br/>AI교수학습자료, 교원역량, 수업자료, 데이터셋, 활용방안, 연구자료, 참고자료, 외부자료 등",317,교육 - 교육일반,"교원,활용방안,연구자료"
