목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15127225,교육부,교육부,교육부_특수교육 교육과정 총론 및 각론 고시,"교육부 고시 제2022-34호 / 이 교육과정은 유아교육법 제13조제2항, 초?중등교육법 제23조제2항, 장애인 등에 대한 특수교육법 제20조제1항에 의거하여 고시한 것으로, 특수교육 대상 학생이 취학하는 유치원, 초?중등학교 및 특수학교의 교육 목적을 달성하기 위해 유치원, 초?중등학교 및 특수학교에서 운영하여야 할 학교 교육과정의 공통적이고 일반적인 기준을 국가 수준에서 제시한 것이다.<br/>이 교육과정의 성격은 제1부 유치원 교육과정과 제2부 초?중등학교 교육과정으로 구분하여 제시한다.<br/>",60,교육 - 유아및초·중등교육,"장애인,유치원,교육기회"
15127207,교육부,교육부,교육부_재외교육기관포털_한국학교정보,"재외 한국학교의 정의 : 재외국민에게 국내의 초·중등 교육과정에 따른 학교교육을 실시하기 위하여 외국에 설립된 교육기관<br/>국가, 학교명, 공관명, 교장, 대표전화, 팩스, 주소, 개교일자, 정부설립인가일, 현지설립인가일, 정부운영인가일, 홈페이지 링크 등의 데이터를 제공",34,교육 - 유아및초·중등교육,"학교주소,재외한국학교,동포자녀"
15126419,교육부,교육부,교육부_교육부 시도별 진로상담교사 배치현황,"시도별, 국공립과 사립,  초중등 학교급 및 고등학교 구분에 따른 진로전담교사 배치 현황 및 순회교사 정보를 제공하고 있습니다.",100,교육 - 유아및초·중등교육,"시도,진로상담교사,배치현황"
15100360,교육부,교육부,교육부_학생건강검사 표본조사 rawdata,"학생건강정보센터(https://schoolhealth.kr/index.do) >> 정책동향 >>  학생건강검사 >> 원시자료 탭 >> 학생건강검사 원자료 다운로드가 가능합니다.<br/>데이터 항목 list<br/>학년도,시도별,학교급별,학교명,학년,반,순번,성별,생년월일,키,몸무게,체질량지수,건강검진일,척추,시력_나안_좌,시력_나안_우,시력_교정_좌,시력_교정_우,안질환,청력_좌,청력_우,귓병,콧병,목병,피부병,요단백,요잠혈,혈당(식전)(mg/dl),총콜레스테롤(mg/dl),HDL(mg/dl),중성지방(mg/dl),LDL(mg/dl),AST(U/L),ALT(U/L),혈색소(g/dl)",4303,교육 - 유아및초·중등교육,"학생건강,표본조사,학생건강정보센터"
15040972,교육부,교육부,교육부_초중고 학교도서관 현황_학교별,"초중고 학교도서관 현황  데이터는 연도, 시도, 행정구, 교육지원청, 학교급, 학교명, 장서수, 연간이용자, 연간이용책, 사서교사, 직원, 사서자격증보유여부 등 관련 학교 도서관 현황자료를 제공하고 있습니다.",4265,교육 - 유아및초·중등교육,"학교도서관,사서교사,학교보유도서수"
15106335,교육부,교육부,교육부_온종일돌봄(초등돌봄) 시설 현황,"교육부 대표 홈페이지 >> 초·중·고 교육 >> 초등돌봄교실 현황을 제공합니다. 시도, 시군구, 학교명, 이용인원을 제공합니다.",2845,교육 - 유아및초·중등교육,"돌봄교실,학교돌봄터,청소년방과후"
15122331,교육부,교육부,교육부_나이스(NEIS) 교육정보 개방 포털_초등학교 시간표,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다. 교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공. 초등학교 학년도, 학교, 학기, 학년, 학급, 교시별 시간표 수업내용을 제공",694,교육 - 유아및초·중등교육,"교육정보개방,어플리케이션,개발"
15122332,교육부,교육부,교육부_나이스(NEIS) 교육정보 개방 포털_중학교 시간표,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다. 교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공, 중학교 학년도, 학교, 학기, 학년, 학급, 교시별 시간표 수업내용 제공",450,교육 - 유아및초·중등교육,"교육정보개방,어플리케이션,개발"
15122333,교육부,교육부,교육부_나이스(NEIS) 교육정보 개방 포털_고등학교 시간표,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다. 교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공. 고등학교 학년도, 학교, 계열, 학과, 학기, 학년, 강의실, 교시별 시간표 수업내용 제공",562,교육 - 유아및초·중등교육,"교육정보개방,어플리케이션,개발"
15122275,교육부,교육부,교육부_나이스(NEIS) 교육정보 개방 포털_초중등_학교기본정보,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다.
교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공
학교 기본정보에 대한 학교명, 소재지, 주소, 전화번호, 홈페이지주소, 남녀공학여부, 주야구분, 개교기념일 등을 제공",671,교육 - 유아및초·중등교육,"교육정보개방,어플리케이션,개발"
