목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15126531,교육부,교육부,교육부_교육통계서비스_직업계고졸업자취업통계연보,"직업계고 졸업자 취업통계연보는 직업계고 취업통계조사의 결과로서 직업계고 학생의 졸업 후 상황을 여러 항목에 따라 분석한 자료입니다. 본 자료는 직업계고 졸업자의 취업실태 파악을 통한 현장 중심의 직업교육 및 취업정책 수립/추진의 기초 자료로 활용하는 것을 목적으로 하고 있습니다.<br/>특성화고등학교 현황, 마이스터 고등학교 현황, 일반계 고등학교 직업반, 유지취업 현황, 취업상세정보별취업통계현황 데이터 제공 합니다.",161,교육 - 평생·직업교육,"학교수,졸업자,미취업자"
15123664,교육부,교육부,교육부_진로체험망_진로체험프로그램현황,"꿈꾸는 아이들의 길라잡이 [꿈길]은 학생들의 다양한 진로체험을지원하기 위해 교육부가 운영하는 대국민 서비스 플랫폼으로, 지역사회의 다양한진로체험처와 프로그램을 관리하고 학교의 진로체험 운영을 지원<br/>현장직업체험형 :	학생들이 관공서, 회사, 병원, 가게, 시장과 같은 현장 직업 일터에서 직업 관련 업무를 직접 수행하고 체험하는 활동<br/>직업실무체험형  :	학생들이 직업체험을 할 수 있는 모의 일터에서 현장직업인과 인터뷰 및 관련 업무를 직접 수행하고 체험하는 활동(현장직업인 멘토 필요)<br/>현장견학형	: 일터(작업장), 직업관련 홍보관, 기업체 등을 방문하여 생산공정, 산업 분야의 흐름과 전망 등을 개괄적으로 견학하는 활동<br/>학과체험형	: 특성화고, 대학교(원)를 방문하여 실습, 견학, 강의 등을 통해 특정 학과와 관련된 직업 분야의 기초적인 지식이나 기술을 학습하는 활동<br/>진로캠프형	: 특정 장소에서 진로심리검사·직업체험·상담·멘토링·특강 등 종합적인 진로교육 프로그램을 경험하는 활동(1일 6시간 이상 운영)<br/>강연형·대화형	: 기업 CEO, 전문가 등 여러 분야의 직업인들의 강연, 진로특강을 통해 다양한 직업세계를 탐색하는 활동(대화형은 40명 내외 학생 기준)",301,교육 - 평생·직업교육,"체험저,꿈길,현장체험형"
15123665,교육부,교육부,교육부_진로체험망_진로체험지원센터 정보,"진로체험지원센터는 지역사회내 체험처 발굴·관리 및 프로그램을 컨설팅하고, 학교에서 체험을 원활히 할 수 있도록 지원하며, 교육기부 진로체험기관 인증제 심사, 진로체험지원 자원봉사자 인력 모집 · 활용, 자체 진로체험 프로그램 운영 등을 하는 기관 안내",310,교육 - 평생·직업교육,"지역별센터,협력센터,꿈길"
15122224,교육부,교육부,교육부_대학의 장에 의한 학위수여 교육훈련기관 목록,"(학점은행제) 2021년~2023년 대학의 장 명의 학위수여 교육훈련기관 목록<br/>기관명, 교육원 유형 데이터를 제공<br/>",119,교육 - 평생·직업교육,"평생교육원,대학교,대학부설"
15102808,교육부,교육부,교육부_Campus Asia AIMS 사업단 현황,"Campus Asia-AIMS 사업은 아세안 지역 대학과의 쌍방향 인적교류를 통해 아세안 지역 교육 분야 교류 협력을 강화하고자 하는 사업입니다. 동 사업에 참여하는 국내 대학 12개 현황과 교류 프로그램 내용, 대상 국가들에 대한 현황자료입니다.",666,교육 - 평생·직업교육,"캠퍼스아시아,캠퍼스아시아 에임즈,아세안대학"
15102806,교육부,교육부,교육부_Campus Asia 한일중 사업단 현황,"한·일·중 3국 간 대학(원)생 상호교류 프로그램인 Campus Asia-한일중 사업의 최종 사업단 명단으로 아세안 국가별 총 20개 대학의 현황을 공개합니다.동 사업은 한일중 대학생 교류 및 대학간 공동 복수학위 활성화를 통한 상호이해 증진 및 아시아 대학간 글로벌 교류 활성화 기반을 마련하는 것이 그 목적인 사업으로 각 사업단(참여대학)에서는 교류 프로그램 설계 및 운영, 학생 선발 및 지원 역할을 하게 됩니다.",487,교육 - 평생·직업교육,"캠퍼스아시아,캠퍼스아시아한일중,한일중"
15051042,교육부,교육부,교육부_평생교육기관 개황정보,연도별 평생교육통계 자료  제공<br/><br/><br/>교육통계서비스(KESS) 홈페이지 (https://kess.kedi.re.kr/index) -> 상단메뉴 중 통계간행물 선택 -> 전체연도 선택 -> 평생통계 선택 -> 평생교육통계자료집 선택 -> 총괄(폴더) 선택 -> 연도별 평생교육기관 개황 선택,4089,교육 - 평생·직업교육,"개황정보,교육통계서비스,평생교육기관"
15037947,교육부,교육부,교육부_진로교육 현황,"진로교육 정책을 수립을 위해 진로교육 관련 인력 및 시설, 진로교육 프로그램 운영 등 현황 등",5128,교육 - 평생·직업교육,진로교육@초중등@현황조사
15063569,교육부,교육부,교육부 국립국제교육원_한국어능력시험 국적별 지원자 수,"한국어능력시험 국가별/회차별/TOPICK I, TOPICK II/지원자/응시자/합격자 수<br/>URL로 접속 후 하단의 국가 회차별 지원자 응시자 합격자 파일 다운로드",4042,교육 - 평생·직업교육,"한국어능력시험,토픽,지원자 수"
15051041,교육부,교육부,교육부_평생교육통계자료,"전국 평생교육기관에 대한 기관개황, 프로그램 및 학습자, 교강사 및 사무직원에 대한 세부정보를 확인할 수 있습니다.",4514,교육 - 평생·직업교육,"평생교육,평생학습,평생교육기관"
