목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
3068849,교육청,경상북도교육청 경상북도교육연수원,경상북도교육청 경상북도교육연수원_도서 목록,경북교육연수원 내 도서관에 소장 중인 도서 목록,2300,문화체육관광 - 문화예술,"교육연수원,책,도서 목록"
3068859,교육청,경상북도교육청 경상북도교육청구미도서관,경상북도교육청 경상북도교육청구미도서관_희망도서구입목록,"경상북도교육청 구미도서관 희망도서 구입정보(제목, 저작자, 빌행자, 발행년도, 권수, 단가, 금액)등의 정보를 제공합니다.",2215,문화체육관광 - 문화예술,"희망,도서,목록"
3068862,교육청,경상북도교육청 경상북도교육청구미도서관,경상북도교육청 경상북도교육청구미도서관_월별최다대출,"경상북도교육청 구미도서관의 자료실별(일반자료실, 어린이자료실) 월별 최다 대출 도서의 도서정보(등록번호, 서명, 저자, 청구기호, 출판사, 출판년, 소장처, 대출회수)를 제공합니다.<br/>",3308,문화체육관광 - 문화예술,"월별,대출,도서"
3068857,교육청,경상북도교육청 경상북도교육청구미도서관,경상북도교육청 경상북도교육청구미도서관_도서정보,"도서정보(서명,저자,발행년도,가격,출판사)에 대한 데이터로 2022년도 구미도서관 도서구입 7,874건 제공합니다.",2713,문화체육관광 - 문화예술,"도서,구미,2022년"
3068853,교육청,경상북도교육청 경상북도교육청구미도서관,경상북도교육청 경상북도교육청구미도서관_추천도서,"어린이자료실 및 일반자료실 추천도서정보(제목, 저자, 출판사, 청구기호, 줄거리, 표지)등의 항목을 제공합니다.",2451,문화체육관광 - 문화예술,"도서,추천,구미도서관"
3077715,교육청,경상북도교육청 경상북도교육청문화원,경상북도교육청 경상북도교육청문화원_대관현황,"경상북도교육청 공연장의 대관 현황 (일자, 시간, 행사명, 주관, 장소)",2087,문화체육관광 - 문화예술,공연@행사@학생
3077717,교육청,경상북도교육청 경상북도교육청문화원,경상북도교육청 경상북도교육청문화원_문화예술프로그램 정보,"경북학생문화회관에서 학생들을 대상으로 운영 중인 방학중, 방과후, 토요문화예술교실 정보",1982,문화체육관광 - 문화예술,방학중@방과후@토요
15099213,교육청,경상북도교육청 경상북도교육청안동도서관,경상북도교육청 경상북도교육청안동도서관_희망도서 구입 목록,"경상북도교육청 안동도서관의 월별 희망도서 구입 목록입니다(서명, 저자, 발행자, 발행년 등의 정보를 제공합니다)",1128,문화체육관광 - 문화예술,"도서관,희망도서,도서"
15099196,교육청,경상북도교육청 경상북도교육청안동도서관,경상북도교육청 경상북도교육청안동도서관_최다 도서 대출 목록,"안동도서관 월별 최다 도서 대출 목록 공개자료입니다(서명, 저자, 청구기호, 출판사, 출판년, 소장처, 자료실, 대출횟수)",1233,문화체육관광 - 문화예술,"도서관,도서대출,도서"
15042821,교육청,경상북도교육청 경상북도교육청영주선비도서관,경상북도교육청_경상북도교육청영주선비도서관_추천도서목록,"경상북도교육청 영주선비도서관에서 제공하는 매월 추천도서에 대한 정보(서명, 저자, 출판사, 출판년, 청구기호)를 제공합니다.",3016,문화체육관광 - 문화예술,"도서,추천,추천도서"
