목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
2424461,소속단체,동북아역사재단,동북아역사재단_하난하드- 산양 1-1,"흉노, 선비, 유연, 돌궐 등을 거쳐 몽골 제국에 이르기까지 유목민들이 차례로 제국을 건설하면서 주변 지역 문화 발전에 기여한 경험을 간직한 역사의 무대인 몽골고비알타이 지역의 바위그림. 한국 선사 및 고대문화의 계통성을 연구하는 의미 있는 형상들을 채록할 수 있는 주요한 자료이다.",264,문화체육관광 - 문화재,"암각화, 하난하드,몽골고비얄타이"
2926901,소속단체,동북아역사재단,동북아역사재단_노곤 혼드 - 낙타를 탄 사람과 산양과 늑대,"흉노, 선비, 유연, 돌궐 등을 거쳐 몽골 제국에 이르기까지 유목민들이 차례로 제국을 건설하면서 주변 지역 문화 발전에 기여한 경험을 간직한 역사의 무대인 몽골고비알타이 지역의 바위그림. 한국 선사 및 고대문화의 계통성을 연구하는 의미 있는 형상들을 채록할 수 있는 주요한 자료이다.",196,문화체육관광 - 문화재,"암각화, 노곤 혼드,유목민"
2591771,소속단체,동북아역사재단,동북아역사재단_후렝 우주르 하단 올_소와 말 그리고 산양(후렝 우주르 하단 올 7구역 34암면),"중앙아시아라는 보다 넓은 공간속에서 한반도를 비롯한 주변 지역의 선사문화를 조망하고 한국 민족 문화의 계통성을 파악할 수 있는 자료. 암각화는 세계의 모든 지역에서 살필 수 있는 가장 보편적인 선사 및 고대의 문화현상이며, 이 속에서 시대와 민족 그리고 지역의 차이에 따라서 바뀌어온 문화상들을 비교 연구할 수 있다.",662,문화체육관광 - 문화재,"암각화, 후렝 우주르,중앙아시아"
2647202,소속단체,동북아역사재단,동북아역사재단_강서대묘_동남벽의 제3굄돌(옆면의 좌측 봉황 상세도),"강서대묘(江西大墓)는 평안남도(平安南道) 대안시(大安市)에 위치한 고구려 후기 사신도(四神圖) 벽화고분(壁畵古墳) 중의 하나로, 사신도 벽화 가운데 가장 빼어난 솜씨를 자랑하는 고구려 절정기의 벽화고분이다. 무덤의 형태는 먼저 반듯하게 잘 다듬은 화강암(花崗巖) 판석(板石)으로 무덤방을 쌓아 올리고 그 위에 흙을 봉긋하게 덮어 완성한 봉토석실분(封土石室墳)이다. 흙으로 이루어진 봉분(封墳)은 직경 51m에 높이 9m로 대형의 규모를 자랑한다.",643,문화체육관광 - 문화재,"강서대묘벽화, 고구려,봉황"
2155255,소속단체,동북아역사재단,동북아역사재단_하난하드-산양들 4,"흉노, 선비, 유연, 돌궐 등을 거쳐 몽골 제국에 이르기까지 유목민들이 차례로 제국을 건설하면서 주변 지역 문화 발전에 기여한 경험을 간직한 역사의 무대인 몽골고비알타이 지역의 바위그림. 한국 선사 및 고대문화의 계통성을 연구하는 의미 있는 형상들을 채록할 수 있는 주요한 자료이다.",718,문화체육관광 - 문화재,"암각화, 하난하드,몽골고비얄타이"
2591770,소속단체,동북아역사재단,동북아역사재단_바타르 하이르향-동물들2-1,"흉노, 선비, 유연, 돌궐 등을 거쳐 몽골 제국에 이르기까지 유목민들이 차례로 제국을 건설하면서 주변 지역 문화 발전에 기여한 경험을 간직한 역사의 무대인 몽골고비알타이 지역의 바위그림. 한국 선사 및 고대문화의 계통성을 연구하는 의미 있는 형상들을 채록할 수 있는 주요한 자료이다.",604,문화체육관광 - 문화재,"암각화, 바타르 하이르항,몽골고비알타이"
2591812,소속단체,동북아역사재단,동북아역사재단_쉬쉬카-말 2,러시아의 하카스코-미누신스크 분지와 투바공화국 내의 바위그림. 우리의 선사 및 고대문화와 직접적 혹은 간접적으로 관련이 있는 지역의 바위 그림을 통해서 한국 민족문화의 기원을 계통을 파악할 수 있는 주요한 자료이다.,771,문화체육관광 - 문화재,"암각화, 쉬쉬카,러시아"
2703221,소속단체,동북아역사재단,동북아역사재단_쉬쉬카-말 2-1,러시아의 하카스코-미누신스크 분지와 투바공화국 내의 바위그림. 우리의 선사 및 고대문화와 직간접적으로 관련이 있는 지역의 바위그림을 통해서 한국 민족문화의 기원을 계통을 파악할 수 있는 주요한 자료이다.,630,문화체육관광 - 문화재,"암각화, 쉬쉬카,러시아"
2151722,소속단체,동북아역사재단,동북아역사재단_덕흥리 고분벽화 - 장식문양 2,"덕흥리벽화고분(德興里壁畵古墳)은 평안남도(平安南道) 남포시(南浦市) 강서구역(江西區域) 덕흥동(德興洞 : 구 지명은 평안남도 대안시 덕흥리)에 위치한 고구려 초기 벽화무덤이다. 이 벽화무덤은 묘실(墓室 : 무덤방) 안에서 발견된 묵서명(墨書銘)에 의해 피장자는 유주자사(幽州刺史)를 지냈던 진(鎭)이라는 자이며, 조성연대는 영락(永樂) 18년 즉 408년이라는 것이 밝혀져 주목을 받았다.",621,문화체육관광 - 문화재,"고분벽화, 고구려, 덕흥리"
2313502,소속단체,동북아역사재단,동북아역사재단_후렝 우주르 하단 올-사슴과 산양들(후렝 우주르 하단 올 5구역 35암면 부분),"중앙아시아라는 보다 넓은 공간속에서 한반도를 비롯한 주변 지역의 선사문화를 조망하고 한국 민족 문화의 계통성을 파악할 수 있는 자료. 암각화는 세계의 모든 지역에서 살필 수 있는 가장 보편적인 선사 및 고대의 문화현상이며, 이 속에서 시대와 민족 그리고 지역의 차이에 따라서 바뀌어온 문화상들을 비교 연구할 수 있다.",666,문화체육관광 - 문화재,"암각화, 후렝 우주르 하단 올,중앙아시아"
