목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15125546,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_지역별 퇴직자 발생 추이,"사립학교교직원연금공단의 지역별 퇴직자 발생추이를 나타내는 것으로 연도, 지역별(법정동), 학교급(유치원, 초등학교, 대학교 등), 퇴직자 수를 보여줍니다.(2018~2022)",188,사회복지 - 공적연금,"지역별,퇴직자,발생"
15124513,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_VOC 상위 5개 민원별 월별 발생 건수,"사립학교교직원연금공단의 VOC 상위 5개 민원별 월별 발생 건수를 연도, 월, 심사 및 장수, 급여, 대여, 재해보상, 연금연계, 기타로 나타냅니다.<br/><br/>※ VOC : Voice of  Customer('고객의 소리'로써 민원 창구 역할을 하는 시스템)",182,사회복지 - 공적연금,"VOC,민원,상위"
15064953,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_사업실명제 선정대상,"사립학교교직원연금공단 사업실명제 선정대상과 관련된 데이터로 순번, 제목, 담당부서, 내용, 연결주소, 등록일시, 연도 등의 항목을 제공합니다.",1661,사회복지 - 공적연금,"사업실명제,사업제목,사업내용"
15065161,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_보도자료,"사립학교교직원연금공단 보도자료와 관련된 데이터로 순번, 제목, 등록일시, 기사제공처, 조회건수, 부서명, 첨부파일 등의 항목을 제공합니다.",1841,사회복지 - 공적연금,"기사,부서,첨부파일번호"
15081264,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_급여 미청구자 관리 현황,"사립학교교직원연금공단 급여 미청구자 관리 현황과 관련된 데이터로 상담일자,LMS,메일(개인),우편(개인),전화,우편((현)기관),우편((전)기관),메일(기관),방문,기타,계 등의 항목을 제공합니다.(단위 : 건 수)",1145,사회복지 - 공적연금,"급여,미청구자,관리"
15064925,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_공지사항,"사립학교교직원연금공단 공지사항과 관련된 데이터로 번호, 제목, 등록일시, 부서명, 파일 등의 항목을 제공합니다.",2065,사회복지 - 공적연금,"공지,홈페이지,파일"
15020810,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_지부 및 상담센터 운영 현황,"사립학교교직원연금공단 지부 및 상담센터 운영 현황과 관련된 데이터로 순번, 지부(센터), 우편번호, 주소, 전화번호, 팩스번호, 관할구역 등의 항목을 제공합니다.",4717,사회복지 - 공적연금,"사학연금,지부,상담"
15119232,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_지역별 재해 승인현황,"사립학교교직원연금공단의 지역별 재해 승인현황을 지역별(서울,광주,부산 등)과 직무상요양비, 간병비 장해급여 등을 제공합니다.",138,사회복지 - 공적연금,"지역별,재해,승인현황"
15119237,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_대여종류별 연간 상세 지급현황,"사립학교교직원연금공단의 대여종류별 연간 지급현황으로 연도, 구분, 상세구분(생활자금, 행복나눔, 국고학자금), 건수, 금액을 제공합니다.",152,사회복지 - 공적연금,"대여종류,연간,대여지급"
15119216,소속단체,사립학교교직원연금공단,사립학교교직원연금공단_75세 초과 지역별 수급자 현황,"사립학교교직원연금공단의 75세 초과 시도별(서울, 광주, 부산 등) 수급자 현황을 지역별(금액, 건수) 나타냅니다.",148,사회복지 - 공적연금,"수급자,75세,지역별"
