목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15121095,교육부,교육부 교원소청심사위원회,교육부 교원소청심사위원회_교원소청심사현황(연도별),"연도별 교원소청심사통계에 대한 데이터로 연도별 접수건수, 처리건수(인용(취소/변경), 기각, 각하, 취하 등)를 제공합니다.",119,일반공공행정 - 일반행정,"통계,현황,심사"
15116436,교육부,교육부 교원소청심사위원회,교육부 교원소청심사위원회_결정문집,"교원소청심사 및 중앙고충심사 사건별로 교원과 교육관계자들에게 참고가 될만한 결정 사례 모음집(처분요지, 결정요지, 관련규정 별도 게재)",145,일반공공행정 - 일반행정,"결정문,소청심사,중앙고충심사"
15053775,교육청,경상북도교육청 경상북도봉화교육지원청,경상북도교육청 경상북도봉화교육지원청_경상북도교육청 경상북도봉화교육지원청_폐교보유현황,"경상북도 봉화군 폐교재산 현황(폐교 매각 현황, 폐교 보유 현황, 용도별 폐교 활용 현황, 매각 대상 폐교 현황)",2531,일반공공행정 - 일반행정,"폐교,교육청,폐교임대"
15053776,교육청,경상북도교육청 경상북도봉화교육지원청,경상북도교육청 경상북도봉화교육지원청_폐교매각현황,"경상북도 봉화군 폐교매각 현황(매각용도, 매각방법, 매각금액 등)",2316,일반공공행정 - 일반행정,"폐교,교육청,폐교임대"
15073852,교육청,대구광역시교육청 대구광역시립동부도서관,대구광역시교육청 대구광역시립동부도서관_신착도서 목록,"동부도서관에 입수된 해당 분기 신착자료에 대한 데이터로 서명, 등록번호, 청구기호, 발행연도 등 해당 자료의 서지정보 제공",2577,일반공공행정 - 일반행정,"도서목록,신착도서,자료검색"
15004933,교육청,대구광역시교육청 대구광역시립동부도서관,대구광역시교육청 대구광역시립동부도서관_인기도서 목록,"동부도서관의 해당 분기에 대출횟수가 많았던 인기자료에 대한 데이터로 서명, 등록번호, 청구기호,대출횟수 등 해당 자료의 정보 제공",4506,일반공공행정 - 일반행정,"도서목록,인기도서,자료검색"
3034016,교육청,부산광역시교육청 부산광역시어린이창의교육관,부산광역시교육청 부산광역시어린이창의교육관_부산어린이회관 시설 정보,"어린이창의교육관은 ""미래를 함께 여는 부산교육""의 비전 아래 어린이들의 소중한 꿈을 키워나갈 수 있도록 노력하고 있습니다. 어린이들이 오감을 통해 스스로 탐구할 수 있는 체험전시관, 탐구체험활동, 가족체험프로그램, 숲 체험 등 즐겁고 다양한 과학문화체험과 전시 · 교육 · 행사를 운영하고 있습니다.4차 산업혁명시대에 마주하게 될 미래 기술과 문화를 직접 체험하고 배울 수 있도록 인공지능(AI), 가상현실(VR), 증강현실(AR) 등 관련 전시, 어린이들이 직접 만지고 조작할 수 있는 체험물 전시, 코딩 등 첨단 교육 및 문화 프로그램을 개발 · 운영하여 어린이 전문 체험 전시관으로 더욱 발전해 나갈 것을 약속드립니다.",3648,일반공공행정 - 일반행정,"전시관,행사,체험교실"
15100652,교육청,울산광역시교육청,울산광역시교육청_구인구직정보,교육청 소속기관 구인 공고 구인기관명 보집분야 직종 제목 등록일 마감일 채용기간 전형일정 응시자격 제출서류 기타사항,808,일반공공행정 - 일반행정,"구인,공고,강사"
15077574,교육청,울산광역시교육청,울산광역시교육청_폐교재산현황,"울산광역시교육청의 폐교된 학교의 재산관리현황(폐교당시 학교명, 폐교년도, 소재지, 교지면적,  건물면적, 대부현황, 이용현황)",1817,일반공공행정 - 일반행정,"폐교,재산,현황"
3037604,교육청,전라남도교육청,전라남도교육청_교육통계,"각급학교(유.초.중.고.특) 및 각종학교, 평생교육시설 등 전라남도교육청 소속 교육기관별 각종 교육현황 전반을 포괄하는 통계정보를 산출하여 국민에게 제공하는 교육통계 서비스",2719,일반공공행정 - 일반행정,"통계,교육현황,각종통계"
